,Unnamed: 0,Mkt-RF,SMB,HML,RF
0,19260701,0.09,-0.25,-0.27,0.01
1,19260702,0.45,-0.33,-0.06,0.01
2,19260706,0.17,0.3,-0.39,0.01
3,19260707,0.09,-0.58,0.02,0.01
4,19260708,0.22,-0.38,0.19,0.01
5,19260709,-0.71,0.43,0.57,0.01
6,19260710,0.61,-0.53,-0.1,0.01
7,19260712,0.04,-0.03,0.64,0.01
8,19260713,0.48,-0.28,-0.2,0.01
9,19260714,0.04,0.07,-0.43,0.01
10,19260715,-0.43,0.49,-0.22,0.01
11,19260716,0.52,-0.07,-0.44,0.01
12,19260717,0.34,0.43,-0.62,0.01
13,19260719,0.0,-0.04,-0.42,0.01
14,19260720,-0.56,-0.25,0.19,0.01
15,19260721,-0.59,0.18,0.36,0.01
16,19260722,-0.73,-0.27,-0.23,0.01
17,19260723,-0.02,0.09,0.04,0.01
18,19260724,-0.15,0.44,-0.05,0.01
19,19260726,0.51,-0.39,-0.22,0.01
20,19260727,0.44,-0.41,0.2,0.01
21,19260728,1.09,0.02,-0.25,0.01
22,19260729,0.36,-0.6,-1.04,0.01
23,19260730,0.17,-0.46,0.53,0.01
24,19260731,0.46,-0.12,-0.17,0.01
25,19260802,0.84,-0.26,0.03,0.01
26,19260803,0.49,-0.25,-0.63,0.01
27,19260804,-0.36,0.11,0.33,0.01
28,19260805,-0.09,0.01,0.72,0.01
29,19260806,0.68,0.07,0.17,0.01
30,19260807,0.47,0.15,-0.35,0.01
31,19260809,0.2,-0.07,-0.22,0.01
32,19260810,-1.4,0.34,0.21,0.01
33,19260811,-0.57,0.21,0.34,0.01
34,19260812,0.84,-0.76,0.4,0.01
35,19260813,0.58,-0.85,0.26,0.01
36,19260814,0.68,0.2,-0.44,0.01
37,19260816,0.07,0.25,0.67,0.01
38,19260817,-0.95,0.33,0.17,0.01
39,19260818,0.26,0.11,0.0,0.01
40,19260819,-0.6,0.14,0.07,0.01
41,19260820,-0.2,-0.35,0.41,0.01
42,19260821,0.31,-0.08,0.54,0.01
43,19260823,0.47,-0.39,0.48,0.01
44,19260824,-0.84,0.48,-0.07,0.01
